sample,GPSC
28522_3#133,1
23430_2#45,1
17794_4#81,1
19647_1#78,1
12291_4#79,1
17794_5#81,1
11679_1#53,1
12291_6#85,1
15873_8#61,1
17794_6#26,1
22667_7#134,1
19084_8#135,1
27119_1#12,1
6823_7#19,1
13154_3#67,1
6730_7#9,1
12299_2#56,1
6807_2#10,1
17794_5#28,1
28522_3#169,1
5381_3#10,1
11657_8#25,1
21127_2#33,1
32820_2#22,1
23430_3#33,1
24977_8#97,1
14566_4#80,1
7001_1#21,1
24977_8#164,1
6753_3#4,1
13091_2#73,1
16399_8#59,1
12837_1#25,1
34746_4#302,1
12299_2#80,1
24977_8#26,1
16399_8#31,1
21127_1#78,1
17794_4#12,1
27119_1#130,1
15682_5#36,1
32036_8#19,1
17175_7#65,1
17175_6#18,1
5901_5#8,1
17794_3#53,1
17794_4#18,1
28522_3#40,1
11860_1#75,1
13091_2#76,1
9803_8#42,1
14410_6#10,1
5429_8#10,1
16404_7#50,1
21127_1#124,1
17794_5#2,1
13154_3#49,1
18090_3#67,1
24820_2#45,1
13154_3#27,1
16404_7#80,1
23430_3#92,1
31919_2#254,1
19084_8#139,1
23430_2#91,1
24977_8#93,1
19647_1#5,1
17794_6#11,1
5901_7#4,1
24977_8#168,1
7011_6#1,1
15378_2#24,1
16404_7#56,1
17794_5#29,1
13415_5#65,1
19647_1#48,1
15682_4#59,1
27119_1#234,1
6246_3#16,1
12274_5#63,1
17794_6#15,1
5381_2#5,1
23430_2#60,1
11826_3#68,1
7011_4#22,1
15191_5#46,1
24820_2#60,1
15682_2#75,1
14672_3#14,1
5381_2#11,1
12291_2#48,1
12291_4#15,1
22335_7#17,1
7004_5#18,1
15191_6#80,1
18814_2#46,1
19646_1#40,1
6823_3#11,1
18814_2#21,1
7622_2#7,1
6731_4#18,1
14673_1#84,1
15191_5#3,1
19647_1#91,1
6983_5#1,1
16404_7#25,1
15682_2#13,1
19647_1#25,1
5381_1#5,1
5749_6#8,1
9803_7#47,1
34746_4#298,1
27119_1#209,1
17794_6#79,1
24977_8#163,1
17794_7#66,1
20402_4#118,1
28157_4#370,1
9803_8#33,1
17794_4#44,1
5366_3#5,1
17794_3#52,1
14673_4#20,1
18814_2#68,1
22335_7#28,1
23430_2#50,1
6569_5#19,1
24820_2#97,1
11826_3#2,1
19536_2#49,1
12291_6#13,1
18090_2#59,1
12274_5#67,1
24775_1#2,1
14672_3#33,1
6631_6#14,1
24977_8#52,1
28516_1#240,1
5366_6#11,1
23204_4#58,1
34746_4#153,1
13091_2#9,1
17794_8#24,1
6949_4#24,1
14673_1#82,1
23204_4#110,1
6755_4#4,1
14566_8#68,1
19647_1#67,1
20925_3#28,1
15874_1#44,1
23204_4#94,1
14566_8#85,1
15608_4#65,1
14412_3#9,1
23430_3#107,1
13414_4#34,1
17794_4#91,1
24977_8#204,1
16404_8#72,1
5366_8#8,1
17794_5#10,1
24977_8#167,1
16404_7#31,1
32139_2#189,1
13091_1#45,1
6680_7#18,1
5366_3#7,1
5381_1#8,1
19084_7#163,1
22027_1#44,1
32036_8#157,1
13091_2#40,1
18814_2#20,1
11860_1#20,1
15682_2#64,1
24977_8#113,1
13091_6#82,1
13154_3#43,1
6289_8#8,1
11657_4#95,1
5381_3#11,1
14555_3#94,1
6805_5#16,1
11826_3#34,1
14566_8#75,1
21127_1#30,1
34746_4#259,1
17794_7#133,1
14673_1#52,1
10754X115_140620_D00294_0106_AC4FB4ANXX_6,1
12299_2#25,1
15940_6#47,1
11860_1#47,1
23430_1#114,1
6925_3#23,1
11826_3#92,1
6680_4#21,1
19341_3#1,1
19647_1#66,1
18814_2#2,1
6775_2#24,1
17794_6#18,1
23430_3#152,1
20925_3#61,1
12291_2#47,1
11658_2#14,1
28420_2#342,1
31919_2#360,1
6731_4#5,1
5366_5#1,1
6805_6#17,1
14723_6#68,1
15873_6#5,1
19084_7#115,1
23430_1#157,1
23430_2#128,1
12837_4#66,1
12299_2#63,1
13091_4#54,1
6630_4#14,1
22841_3#164,1
7038_5#23,1
34746_4#376,1
12274_5#21,1
13710_1#47,1
11511_8#48,1
5468_1#2,1
17794_5#20,1
6925_7#9,1
16453_2#20,1
19647_1#35,1
18814_1#62,1
31588_4#207,1
15191_5#12,1
5381_1#7,1
7054_4#24,1
17794_6#32,1
12274_6#24,1
13091_4#81,1
23430_1#165,1
23430_4#60,1
23430_3#148,1
27119_1#236,1
14566_5#14,1
31588_4#58,1
17794_5#51,1
6775_2#23,1
17794_6#94,1
10868_6#6,1
6791_6#24,1
14913_6#63,1
28042_2#296,1
34746_4#323,1
23204_4#54,1
5901_7#12,1
7001_1#8,1
17794_4#34,1
21999_8#40,1
18814_2#3,1
13091_3#35,1
12291_3#48,1
24977_8#250,1
24775_1#76,1
27119_1#268,1
17794_6#43,1
7054_6#13,1
6823_3#18,1
23204_4#155,1
6730_6#1,1
19647_1#9,1
6187_6#4,1
6730_8#19,1
28177_3#363,1
6925_4#20,1
6731_3#24,1
12378_4#5,1
11826_4#37,1
15841_4#22,1
23430_3#153,1
18814_1#59,1
19647_1#52,1
14566_5#42,1
14673_4#19,1
28177_3#267,1
17794_5#87,1
19341_2#74,1
12378_4#11,1
17794_6#7,1
18814_2#53,1
19647_1#27,1
31664_1#129,1
18090_2#60,1
17794_5#88,1
16399_8#87,1
19646_1#79,1
6259_1#4,1
6259_3#3,1
9221_3#82,1
18814_2#40,1
12291_6#39,1
12291_4#58,1
32139_2#99,1
6999_5#19,1
15608_5#90,1
12291_2#52,1
14566_6#89,1
24861_1#57,1
6823_1#15,1
23430_3#170,1
5366_6#2,1
19647_1#26,1
13154_3#62,1
24820_2#71,1
6751_2#9,1
17794_4#60,1
6289_8#3,1
18814_1#22,1
5468_2#8,1
18814_2#41,1
12299_2#8,1
24977_8#265,1
10754X9_140620_D00294_0106_AC4FB4ANXX_5,1
6899_6#14,1
13154_3#14,1
12290_2#17,1
12291_4#74,1
24977_8#95,1
20402_4#127,1
20402_4#110,1
22335_7#141,1
27119_1#137,1
6775_1#23,1
17794_6#9,1
5366_7#2,1
13154_2#85,1
11511_8#9,1
24820_2#312,1
34746_4#203,1
28522_3#174,1
7092_6#20,1
6775_2#12,1
12291_4#33,1
17794_5#21,1
6755_4#22,1
28042_2#65,1
24775_1#61,1
6736_8#9,1
17794_5#45,1
13415_7#83,1
7001_3#7,1
27119_1#63,1
17794_6#33,1
32820_2#161,1
19341_3#116,1
12837_3#87,1
6972_2#16,1
19646_1#60,1
23430_4#63,1
14673_2#57,1
19084_7#77,1
11511_8#40,1
24977_8#148,1
17794_6#46,1
6680_7#17,1
6710_7#1,1
12291_4#16,1
17794_5#93,1
14723_6#67,1
27119_1#119,1
27119_1#129,1
32820_2#196,1
12291_3#45,1
19341_2#148,1
19647_1#32,1
13415_8#65,1
32139_2#256,1
5366_7#11,1
6983_5#17,1
31958_2#159,1
19647_1#8,1
23430_3#127,1
34746_4#112,1
6753_3#24,1
9221_3#81,1
5366_6#9,1
6983_3#65,1
17794_5#85,1
21053_8#169,1
27119_1#241,1
19647_1#13,1
24977_8#273,1
24977_8#140,1
12274_6#28,1
5429_8#8,1
17794_4#84,1
6899_7#15,1
6753_2#17,1
18814_2#5,1
6949_1#17,1
23204_4#65,1
17794_5#61,1
6187_5#8,1
10754X109_140620_D00294_0106_AC4FB4ANXX_6,1
17794_3#90,1
28177_3#225,1
14412_1#5,1
24977_8#166,1
19084_7#177,1
20925_3#66,1
24977_8#46,1
16404_7#20,1
24820_2#95,1
5366_7#3,1
16404_8#47,1
5381_2#2,1
19647_1#50,1
24977_8#78,1
28042_2#266,1
32820_2#5,1
17794_3#88,1
6805_7#10,1
7622_3#54,1
27119_1#281,1
28042_2#80,1
5381_3#4,1
24861_1#210,1
6791_6#22,1
27119_1#204,1
6805_2#2,1
6949_3#20,1
17794_5#57,1
7011_4#23,1
24977_8#98,1
13415_6#23,1
16404_7#38,1
17794_6#60,1
5366_8#1,1
17794_4#43,1
6680_5#18,1
18814_2#29,1
13353_7#15,1
6823_6#24,1
13154_3#78,1
28042_2#110,1
6983_3#63,1
17150_6#55,1
22335_7#26,1
6775_1#10,1
6680_5#7,1
5366_5#9,1
6710_8#11,1
7004_8#81,1
11826_3#75,1
11658_2#84,1
15682_3#61,1
17794_6#10,1
17794_5#84,1
19084_8#31,1
6999_7#22,1
13670_3#26,1
7092_6#10,1
7054_4#18,1
28420_2#298,1
14936_4#80,1
16399_8#70,1
17794_6#84,1
24820_2#22,1
7011_6#7,1
12299_2#40,1
23430_4#78,1
19646_1#63,1
17794_6#88,1
16404_7#24,1
15940_6#49,1
14913_3#89,1
31958_2#260,1
11826_3#10,1
13091_6#36,1
14566_8#67,1
18814_2#11,1
21127_2#143,1
17150_4#57,1
13091_1#50,1
17794_6#62,1
15682_6#83,1
6949_2#16,1
15531_7#4,1
14913_5#95,1
18814_1#42,1
23430_2#154,1
24977_8#39,1
24977_8#3,1
24775_1#92,1
13154_3#88,1
14936_4#28,1
19341_3#51,1
10754X48_140620_D00294_0106_AC4FB4ANXX_5,1
12837_2#39,1
17794_4#40,1
34746_4#359,1
15873_2#61,1
18814_1#64,1
20925_3#30,1
32036_8#45,1
21053_8#104,1
16404_7#27,1
17794_6#12,1
15191_5#60,1
28042_2#94,1
24977_8#117,1
6949_2#18,1
16043_2#61,1
17794_5#13,1
23204_4#172,1
6680_4#22,1
6736_7#24,1
11679_1#3,1
12837_4#22,1
16404_7#36,1
5348_8#12,1
12274_5#75,1
31958_2#73,1
5381_1#3,1
12837_5#72,1
19341_1#72,1
19787_5#61,1
19341_3#112,1
23430_2#72,1
15531_5#52,1
17794_4#23,1
11860_1#53,1
24977_8#249,1
11860_1#35,1
24977_8#38,1
6259_2#3,1
17794_4#80,1
17794_6#74,1
14566_5#88,1
10754X83_140620_D00294_0106_AC4FB4ANXX_5,1
11826_3#9,1
12299_1#80,1
17794_6#90,1
19647_1#87,1
6714_8#24,1
6680_7#1,1
6823_1#18,1
6259_3#13,1
6983_4#83,1
6730_7#18,1
6673_8#19,1
6938_3#22,1
12837_4#3,1
19647_1#56,1
11658_2#10,1
18814_1#71,1
28042_2#198,1
23430_2#79,1
12299_2#14,1
13154_3#36,1
11826_3#6,1
5366_6#6,1
6753_2#4,1
10868_5#28,1
23430_3#81,1
19647_1#83,1
12837_5#78,1
19084_7#147,1
24820_2#352,1
7622_2#12,1
28042_2#240,1
12274_5#27,1
6680_7#24,1
23430_2#110,1
5429_8#4,1
19647_1#44,1
19341_3#11,1
10868_6#2,1
13091_1#47,1
6823_7#8,1
15841_4#24,1
19084_8#158,1
24977_8#111,1
6755_6#21,1
6259_4#4,1
12291_1#44,1
31958_2#228,1
25108_8#10,1
11826_4#10,1
21999_8#68,1
24861_1#341,1
11826_3#47,1
23430_2#101,1
28042_2#73,1
6925_6#13,1
19647_1#55,1
6999_1#17,1
17794_5#79,1
17794_4#33,1
18090_2#65,1
13091_2#79,1
13414_2#63,1
18814_1#2,1
17794_6#44,1
21127_1#42,1
13091_4#62,1
11658_2#72,1
11658_2#18,1
18814_2#47,1
28522_3#334,1
12274_6#8,1
6680_7#22,1
24820_2#210,1
31958_2#333,1
18814_2#23,1
22841_1#187,1
14673_1#86,1
28042_2#55,1
31537_1#317,1
14673_1#48,1
7001_3#8,1
15841_4#6,1
18814_1#40,1
6187_4#19,1
12162_1#1,1
19341_3#63,1
6899_7#3,1
10868_6#11,1
17794_6#47,1
17794_6#76,1
6755_2#11,1
17794_4#17,1
13154_3#38,1
32139_3#143,1
6630_3#3,1
13414_2#15,1
6823_7#10,1
10868_6#8,1
28042_2#106,1
11511_8#59,1
24820_2#104,1
6807_2#7,1
9803_8#14,1
17150_6#38,1
19647_1#86,1
5366_7#7,1
24977_8#218,1
28177_3#126,1
18814_1#55,1
6753_2#8,1
6983_4#82,1
15873_8#72,1
12274_5#94,1
17794_4#1,1
5366_6#4,1
11658_2#74,1
6925_5#13,1
21127_1#39,1
11657_8#63,1
24977_8#196,1
15940_5#12,1
17794_6#23,1
6736_5#1,1
19647_1#29,1
18623_5#43,1
28522_3#280,1
6899_7#19,1
7038_4#7,1
32139_2#70,1
11826_3#57,1
6259_3#20,1
16404_7#40,1
6823_3#16,1
19341_1#101,1
22335_7#43,1
5381_3#7,1
15841_4#41,1
24977_8#256,1
15682_1#61,1
20925_3#13,1
17794_5#44,1
6899_7#4,1
12291_1#47,1
12274_6#14,1
11860_1#96,1
11826_3#14,1
6871_1#16,1
15682_5#14,1
6805_2#7,1
5381_3#3,1
17794_5#65,1
7553_4#17,1
15191_5#1,1
22335_7#93,1
23204_4#158,1
22841_1#24,1
21485_1#15,1
32139_3#11,1
12378_4#27,1
23430_1#146,1
24977_8#207,1
21485_1#82,1
17794_6#55,1
7092_6#24,1
12291_1#48,1
6925_5#19,1
34746_4#301,1
17150_6#89,1
11826_3#59,1
21053_8#119,1
17175_5#20,1
12299_1#6,1
22841_1#119,1
24775_1#62,1
23430_1#43,1
19084_8#110,1
34746_4#166,1
13091_1#34,1
6807_1#19,1
5381_1#10,1
6823_2#1,1
17794_5#74,1
5429_8#5,1
6999_7#23,1
17794_6#48,1
17794_4#31,1
15682_4#15,1
31958_2#380,1
15682_5#4,1
31588_4#279,1
19084_7#128,1
19647_1#30,1
16404_7#29,1
12299_2#18,1
5366_8#10,1
23430_3#166,1
24775_1#110,1
11860_1#37,1
18090_1#35,1
17794_4#94,1
32139_3#147,1
6999_5#17,1
5366_5#8,1
12274_6#48,1
29102_1#303,1
12162_1#63,1
13091_1#13,1
22335_8#22,1
7054_6#9,1
23430_1#109,1
21999_7#110,1
6823_3#3,1
17794_5#92,1
12274_4#77,1
17794_4#50,1
15191_5#33,1
22335_7#37,1
11860_1#6,1
11826_3#48,1
6187_7#23,1
15874_1#15,1
11511_7#13,1
28177_3#158,1
34746_4#222,1
5381_2#3,1
32139_2#47,1
19341_2#172,1
17150_4#14,1
24977_8#86,1
6731_1#15,1
6983_2#10,1
6187_6#7,1
11826_4#22,1
31958_2#362,1
12274_4#82,1
16453_2#11,1
28522_3#129,1
19647_1#28,1
18814_2#51,1
17150_4#69,1
31664_1#146,1
21127_2#162,1
24977_8#188,1
6259_8#2,1
6791_6#4,1
17794_5#4,1
18814_2#52,1
24820_2#59,1
28522_3#194,1
17794_5#71,1
6569_5#20,1
14936_6#47,1
12274_6#31,1
6823_5#24,1
14673_3#8,1
15940_3#10,1
19341_3#114,1
6938_7#7,1
6187_6#13,1
13091_3#53,1
5429_8#11,1
5477_6#5,1
6731_3#3,1
15682_4#66,1
11826_3#63,1
17794_6#39,1
34746_4#247,1
14566_6#20,1
24977_8#241,1
6899_6#21,1
16404_7#34,1
19647_1#42,1
28177_3#338,1
19647_1#65,1
17794_6#85,1
12274_6#44,1
15682_1#72,1
17794_6#6,1
24977_8#157,1
6631_6#4,1
18814_2#19,1
13091_2#49,1
19647_1#19,1
15531_5#66,1
27119_1#143,1
18814_1#44,1
6630_3#22,1
12274_5#54,1
17794_4#11,1
13091_2#35,1
12274_4#91,1
18090_2#67,1
19084_7#158,1
24977_8#245,1
16404_7#53,1
27119_1#118,1
5749_6#11,1
17794_5#19,1
19646_1#101,1
6731_3#14,1
5381_1#4,1
7038_6#1,1
17794_5#82,1
18814_2#26,1
6983_2#6,1
17794_3#89,1
17794_5#67,1
6187_4#15,1
6259_2#1,1
12274_5#79,1
17794_5#24,1
24977_8#268,1
19647_1#64,1
12299_2#2,1
5348_8#10,1
13414_2#22,1
31958_2#52,1
5392_7#10,1
17794_6#66,1
17794_4#3,1
7004_7#50,1
24977_8#254,1
10868_6#12,1
6259_1#15,1
6731_4#8,1
13091_2#6,1
13091_6#81,1
24977_8#208,1
17794_6#25,1
24977_8#232,1
27119_1#85,1
16404_7#49,1
11826_4#29,1
31958_2#195,1
15682_1#73,1
24977_8#253,1
6753_3#3,1
32820_2#180,1
16404_7#4,1
23430_1#111,1
6731_1#2,1
16404_7#41,1
5381_1#2,1
6925_3#8,1
9803_7#67,1
18814_1#29,1
11860_1#71,1
11826_3#91,1
14673_2#29,1
14520_7#80,1
12754_4#62,1
6730_4#24,1
9950_3#71,1
15682_2#55,1
24977_8#116,1
28522_3#109,1
23204_4#97,1
15682_4#50,1
23430_4#42,1
7553_4#6,1
6710_7#6,1
6925_5#23,1
17794_6#56,1
28177_3#111,1
34746_4#306,1
19647_1#62,1
14520_7#52,1
17175_5#69,1
23430_3#41,1
17794_5#22,1
10754X103_140620_D00294_0106_AC4FB4ANXX_6,1
19647_1#51,1
6805_4#4,1
23204_4#70,1
6680_5#24,1
6736_7#10,1
12837_4#2,1
13091_3#79,1
7011_3#6,1
19341_2#153,1
32139_3#113,1
6731_2#7,1
14410_5#3,1
16404_7#22,1
5366_3#9,1
15191_7#28,1
19647_1#68,1
15277_1#17,1
13091_2#13,1
11657_4#93,1
6925_7#18,1
24977_8#120,1
17794_4#70,1
21999_8#83,1
15682_5#37,1
17794_5#64,1
19341_1#66,1
13670_3#16,1
13091_2#51,1
34746_4#352,1
15682_4#30,1
11657_8#14,1
17794_5#78,1
21053_8#142,1
17794_5#5,1
24977_8#252,1
6714_7#13,1
12274_5#49,1
15682_5#26,1
23430_4#24,1
13414_6#80,1
18090_2#72,1
34746_4#44,1
19341_3#14,1
6823_4#2,1
17794_6#49,1
17794_5#14,1
16404_7#33,1
13091_2#2,1
11657_8#4,1
15682_5#43,1
9803_7#53,1
19647_1#63,1
19647_1#2,1
6807_1#1,1
15873_6#59,1
15682_4#2,1
11826_3#5,1
19647_1#53,1
21053_8#173,1
24861_1#297,1
16404_7#44,1
19647_1#7,1
6840_3#10,1
15682_5#16,1
15682_4#35,1
32139_3#365,1
6871_1#8,1
28177_3#74,1
14673_3#10,1
13091_3#34,1
22335_7#14,1
34746_4#275,1
24977_8#71,1
11826_3#11,1
11860_1#24,1
17794_4#4,1
17794_5#91,1
6949_1#2,1
6736_7#9,1
18814_2#56,1
16404_7#51,1
11826_3#71,1
28042_2#93,1
9221_5#57,1
18814_2#35,1
14555_3#13,1
28177_3#366,1
12299_1#8,1
6899_5#12,1
19787_5#32,1
12299_2#89,1
23430_1#61,1
6871_1#1,1
15191_5#53,1
14723_6#54,1
16404_7#52,1
18814_2#57,1
17794_4#90,1
6736_8#8,1
17138_3#22,1
23164_8#157,1
28042_2#159,1
6823_2#2,1
17794_6#70,1
21999_8#32,1
24977_8#131,1
6805_7#7,1
6259_3#15,1
5366_6#8,1
9803_8#15,1
11826_4#12,1
12274_6#40,1
17794_4#95,1
19647_1#75,1
18814_2#69,1
31664_1#272,1
21127_1#79,1
13414_2#91,1
12274_5#17,1
11657_4#74,1
21127_1#29,1
12299_1#70,1
10754X99_140620_D00294_0106_AC4FB4ANXX_6,1
34746_4#327,1
24977_8#283,1
15874_1#56,1
16043_2#58,1
19084_8#44,1
24861_1#352,1
12291_2#7,1
17794_5#15,1
13154_2#29,1
19647_1#77,1
14412_2#61,1
11657_8#13,1
24820_2#61,1
27119_1#133,1
31919_2#230,1
14913_6#71,1
34746_4#104,1
27119_1#95,1
23430_4#47,1
23204_4#68,1
17150_5#76,1
19084_8#109,1
23430_3#62,1
16404_7#45,1
21242_2#153,1
24775_1#89,1
24775_1#16,1
5477_6#9,1
22276_1#184,1
12299_2#60,1
5901_7#3,1
31664_1#244,1
6925_3#9,1
16404_7#83,1
17794_6#3,1
11826_3#3,1
17794_5#47,1
13091_2#52,1
6807_2#24,1
31919_2#203,1
15682_3#26,1
21127_1#81,1
17794_5#53,1
11657_4#53,1
17794_6#29,1
11658_2#66,1
15682_2#67,1
28177_3#139,1
13414_1#36,1
23430_1#105,1
27119_1#131,1
22335_7#86,1
17794_5#39,1
28177_3#367,1
17794_6#71,1
7038_4#20,1
23430_3#48,1
19647_1#34,1
15191_6#54,1
15682_2#68,1
6983_8#77,1
31588_4#47,1
19341_2#164,1
17794_5#16,1
21999_8#115,1
23430_3#82,1
24977_8#121,1
34746_4#263,1
11860_1#28,1
28522_3#56,1
23204_4#72,1
24977_8#36,1
6187_4#16,1
11826_4#21,1
17794_4#32,1
6925_7#14,1
6983_2#14,1
6823_4#12,1
17794_4#58,1
14412_2#65,1
23204_4#49,1
6680_5#15,1
24977_8#228,1
24775_1#85,1
23430_2#13,1
13414_8#86,1
22114_6#42,1
19787_5#34,1
28177_3#333,1
24977_8#57,1
11826_3#39,1
23430_2#153,1
23164_8#161,1
19341_2#69,1
14723_2#34,1
19647_1#33,1
6630_3#6,1
14412_1#7,1
17794_4#15,1
11826_3#45,1
31958_2#372,1
15191_5#47,1
17794_6#17,1
24977_8#123,1
17794_5#86,1
6736_6#24,1
17794_5#60,1
10868_6#5,1
23204_4#31,1
14520_8#92,1
28177_3#185,1
6871_1#17,1
20925_3#48,1
27119_1#260,1
6730_8#11,1
21999_7#176,1
14520_8#19,1
17794_7#113,1
6807_2#16,1
24977_8#92,1
17794_6#53,1
24820_2#121,1
11860_1#54,1
31588_4#274,1
17794_6#28,1
11860_1#2,1
11658_2#60,1
12274_5#20,1
11826_3#65,1
17794_5#33,1
17794_6#67,1
15940_3#27,1
9803_7#20,1
17175_5#80,1
17150_6#33,1
11860_1#15,1
24977_8#130,1
6823_1#5,1
18090_1#40,1
19647_1#18,1
12274_6#18,1
27119_1#258,1
5366_6#5,1
6952_4#21,1
15682_2#1,1
17794_5#43,1
24775_1#23,1
24977_8#70,1
5477_6#7,1
15608_2#38,1
6755_3#23,1
17794_3#91,1
17794_6#93,1
34746_4#24,1
13353_7#78,1
24977_8#198,1
17794_5#55,1
31919_2#289,1
11860_1#46,1
13415_7#73,1
23430_4#37,1
6259_4#13,1
17794_6#57,1
17794_6#8,1
15841_4#33,1
7553_4#39,1
24775_1#194,1
6899_7#17,1
11826_3#13,1
32820_2#336,1
7011_4#1,1
5381_3#1,1
23204_4#2,1
22841_1#176,1
15873_8#35,1
15608_5#52,1
19084_8#25,1
6899_7#20,1
9950_2#7,1
20402_4#88,1
11679_1#62,1
17794_5#27,1
6972_3#19,1
11658_8#16,1
7004_6#39,1
6289_7#22,1
17794_4#86,1
18814_1#38,1
15531_4#42,1
6246_3#22,1
19647_1#73,1
17794_6#24,1
24977_8#33,1
11860_1#1,1
19647_1#38,1
19647_1#89,1
17794_8#138,1
17794_8#23,1
6999_2#15,1
17794_6#83,1
12291_5#33,1
17794_3#92,1
24977_8#96,1
23430_2#69,1
17794_5#50,1
11511_8#38,1
27119_1#222,1
6259_3#9,1
6755_4#23,1
5381_2#9,1
11826_4#6,1
11826_4#48,1
13414_2#67,1
17175_8#81,1
13091_2#65,1
17794_6#31,1
31919_2#136,1
5429_8#3,1
23204_4#174,1
5468_1#5,1
17794_6#50,1
6755_1#22,1
19647_1#46,1
11826_3#96,1
9803_8#23,1
19341_2#117,1
17794_5#6,1
13091_4#27,1
5901_6#5,1
12837_1#20,1
6805_4#5,1
17059_6#4,1
19647_1#69,1
6731_5#15,1
6736_6#10,1
6753_1#8,1
6823_3#14,1
13710_2#58,1
5392_7#12,1
11860_1#39,1
13091_2#11,1
17794_5#59,1
24775_1#108,1
13415_4#49,1
24775_1#93,1
27119_1#269,1
5242_5#12,1
32139_3#79,1
6730_4#22,1
6736_8#22,1
34746_4#158,1
5366_6#1,1
11826_3#32,1
13415_8#64,1
11893_8#11,1
12274_6#15,1
18814_1#74,1
6289_7#2,1
5381_2#1,1
24977_8#72,1
12274_5#84,1
17794_6#51,1
14410_8#56,1
13091_2#7,1
6259_1#9,1
11657_4#96,1
24977_8#158,1
17794_3#56,1
5468_1#4,1
29102_1#196,1
13414_6#79,1
34746_4#367,1
6289_8#4,1
13091_2#41,1
11826_3#44,1
17794_4#68,1
19647_1#80,1
6805_4#15,1
13414_2#64,1
28177_3#293,1
6736_7#12,1
6731_5#21,1
15682_5#15,1
6753_1#17,1
24977_8#257,1
15191_5#59,1
5366_5#7,1
21127_1#87,1
23204_4#121,1
11511_8#57,1
24820_2#113,1
14566_5#44,1
23430_2#147,1
24977_8#230,1
23430_3#22,1
24977_8#227,1
12274_5#87,1
28177_3#167,1
17794_6#69,1
6823_2#18,1
14673_3#5,1
24977_8#191,1
11657_4#40,1
6983_5#13,1
6731_3#19,1
17794_5#31,1
23430_2#78,1
19647_1#47,1
6949_2#13,1
18814_2#36,1
24820_2#111,1
6775_2#13,1
